#	IEEE-118 node network																								
#	118 nodes	185 lines	20 generators																						
#																									
#p	name	nodes	arcs	k	timeseries	timeperiods																			
p	ieee118	119	205	0	4	24																			
a	42	49	-220	220	0.323	0	0	0	1	1	1	0													
a	51	52	-220	220	0.0588	0	0	0	1	1	1	0													
a	52	53	-220	220	0.1635	0	0	0	1	1	1	0													
a	53	54	-220	220	0.122	0	0	0	1	1	1	0													
a	49	50	-220	220	0.0752	0	0	0	1	1	1	0													
a	50	57	-220	220	0.134	0	0	0	1	1	1	0													
a	49	51	-220	220	0.137	0	0	0	1	1	1	0													
a	49	54	-220	220	0.289	0	0	0	1	1	1	0													
a	49	54	-220	220	0.291	0	0	0	1	1	1	0													
a	56	57	-220	220	0.0966	0	0	0	1	1	1	0													
a	51	58	-220	220	0.0719	0	0	0	1	1	1	0													
a	54	55	-220	220	0.0707	0	0	0	1	1	1	0													
a	54	56	-220	220	0.00955	0	0	0	1	1	1	0													
a	54	59	-220	220	0.2293	0	0	0	1	1	1	0													
a	55	56	-220	220	0.0151	0	0	0	1	1	1	0													
a	55	59	-220	220	0.2158	0	0	0	1	1	1	0													
a	56	58	-220	220	0.0966	0	0	0	1	1	1	0													
a	56	59	-220	220	0.251	0	0	0	1	1	1	0													
a	56	59	-220	220	0.239	0	0	0	1	1	1	0													
a	77	78	-220	220	0.0124	0	0	0	1	1	1	0													
a	77	80	-440	440	0.0485	0	0	0	1	1	1	0													
a	77	80	-220	220	0.105	0	0	0	1	1	1	0													
a	78	79	-220	220	0.0244	0	0	0	1	1	1	0													
a	79	80	-220	220	0.0704	0	0	0	1	1	1	0													
a	92	102	-220	220	0.0559	0	0	0	1	1	1	0													
a	100	101	-220	220	0.1262	0	0	0	1	1	1	0													
a	101	102	-220	220	0.112	0	0	0	1	1	1	0													
a	85	88	-220	220	0.102	0	0	0	1	1	1	0													
a	88	89	-440	440	0.0712	0	0	0	1	1	1	0													
a	83	84	-220	220	0.132	0	0	0	1	1	1	0													
a	84	85	-220	220	0.0641	0	0	0	1	1	1	0													
a	92	93	-220	220	0.032	0	0	0	1	1	1	0													
a	93	94	-220	220	0.0732	0	0	0	1	1	1	0													
a	94	95	-220	220	0.0434	0	0	0	1	1	1	0													
a	95	96	-220	220	0.0547	0	0	0	1	1	1	0													
a	77	82	-220	220	0.0853	0	0	0	1	1	1	0													
a	80	96	-220	220	0.182	0	0	0	1	1	1	0													
a	80	97	-220	220	0.0934	0	0	0	1	1	1	0													
a	80	99	-220	220	0.206	0	0	0	1	1	1	0													
a	99	100	-220	220	0.0813	0	0	0	1	1	1	0													
a	80	98	-220	220	0.108	0	0	0	1	1	1	0													
a	82	83	-220	220	0.03665	0	0	0	1	1	1	0													
a	82	96	-220	220	0.053	0	0	0	1	1	1	0													
a	98	100	-220	220	0.179	0	0	0	1	1	1	0													
a	83	85	-220	220	0.148	0	0	0	1	1	1	0													
a	85	89	-220	220	0.173	0	0	0	1	1	1	0													
a	92	94	-220	220	0.158	0	0	0	1	1	1	0													
a	92	100	-220	220	0.295	0	0	0	1	1	1	0													
a	94	96	-220	220	0.0869	0	0	0	1	1	1	0													
a	94	100	-220	220	0.058	0	0	0	1	1	1	0													
a	96	97	-220	220	0.0885	0	0	0	1	1	1	0													
a	1	3	-220	220	0.0424	0	0	0	1	1	1	0													
a	2	12	-220	220	0.0616	0	0	0	1	1	1	0													
a	3	5	-220	220	0.108	0	0	0	1	1	1	0													
a	3	12	-220	220	0.16	0	0	0	1	1	1	0													
a	5	6	-220	220	0.054	0	0	0	1	1	1	0													
a	6	7	-220	220	0.0208	0	0	0	1	1	1	0													
a	7	12	-220	220	0.034	0	0	0	1	1	1	0													
a	5	11	-220	220	0.0682	0	0	0	1	1	1	0													
a	19	20	-220	220	0.117	0	0	0	1	1	1	0													
a	20	21	-220	220	0.0849	0	0	0	1	1	1	0													
a	8	9	-1100	1100	0.0305	0	0	0	1	1	1	0													
a	21	22	-220	220	0.097	0	0	0	1	1	1	0													
a	22	23	-220	220	0.159	0	0	0	1	1	1	0													
a	9	10	-1100	1100	0.0322	0	0	0	1	1	1	0													
a	11	12	-220	220	0.0196	0	0	0	1	1	1	0													
a	34	43	-220	220	0.1681	0	0	0	1	1	1	0													
a	12	15	-220	220	0.0707	0	0	0	1	1	1	0													
a	12	17	-220	220	0.0834	0	0	0	1	1	1	0													
a	12	117	-220	220	0.14	0	0	0	1	1	1	0													
a	43	44	-220	220	0.2454	0	0	0	1	1	1	0													
a	14	15	-220	220	0.195	0	0	0	1	1	1	0													
a	15	17	-440	440	0.0437	0	0	0	1	1	1	0													
a	15	19	-220	220	0.0394	0	0	0	1	1	1	0													
a	44	45	-220	220	0.0901	0	0	0	1	1	1	0													
a	16	17	-220	220	0.1801	0	0	0	1	1	1	0													
a	17	19	-220	220	0.0505	0	0	0	1	1	1	0													
a	17	31	-220	220	0.1563	0	0	0	1	1	1	0													
a	18	19	-220	220	0.0493	0	0	0	1	1	1	0													
a	19	34	-220	220	0.247	0	0	0	1	1	1	0													
a	75	118	-220	220	0.0481	0	0	0	1	1	1	0													
a	76	77	-220	220	0.148	0	0	0	1	1	1	0													
a	23	24	-220	220	0.0492	0	0	0	1	1	1	0													
a	23	25	-440	440	0.08	0	0	0	1	1	1	0													
a	23	32	-220	220	0.1153	0	0	0	1	1	1	0													
a	24	70	-220	220	0.4115	0	0	0	1	1	1	0													
a	76	118	-220	220	0.0544	0	0	0	1	1	1	0													
a	25	27	-440	440	0.163	0	0	0	1	1	1	0													
a	27	32	-220	220	0.0755	0	0	0	1	1	1	0													
a	27	115	-220	220	0.0741	0	0	0	1	1	1	0													
a	32	114	-220	220	0.0612	0	0	0	1	1	1	0													
a	29	31	-220	220	0.0331	0	0	0	1	1	1	0													
a	30	17	-660	660	0.0388	0	0	0	1	1	1	0													
a	30	38	-220	220	0.054	0	0	0	1	1	1	0													
a	31	32	-220	220	0.0985	0	0	0	1	1	1	0													
a	114	115	-220	220	0.0104	0	0	0	1	1	1	0													
a	103	110	-220	220	0.1813	0	0	0	1	1	1	0													
a	105	108	-220	220	0.0703	0	0	0	1	1	1	0													
a	108	109	-220	220	0.0288	0	0	0	1	1	1	0													
a	34	37	-440	440	0.0094	0	0	0	1	1	1	0													
a	109	110	-220	220	0.0762	0	0	0	1	1	1	0													
a	24	72	-220	220	0.196	0	0	0	1	1	1	0													
a	70	71	-220	220	0.0355	0	0	0	1	1	1	0													
a	38	37	-660	660	0.0375	0	0	0	1	1	1	0													
a	38	65	-440	440	0.0986	0	0	0	1	1	1	0													
a	71	72	-220	220	0.18	0	0	0	1	1	1	0													
a	45	46	-220	220	0.1356	0	0	0	1	1	1	0													
a	45	49	-220	220	0.186	0	0	0	1	1	1	0													
a	46	47	-220	220	0.127	0	0	0	1	1	1	0													
a	46	48	-220	220	0.189	0	0	0	1	1	1	0													
a	47	49	-220	220	0.0625	0	0	0	1	1	1	0													
a	47	69	-220	220	0.2778	0	0	0	1	1	1	0													
a	48	49	-220	220	0.0505	0	0	0	1	1	1	0													
a	49	66	-440	440	0.0919	0	0	0	1	1	1	0													
a	49	66	-440	440	0.0919	0	0	0	1	1	1	0													
a	49	69	-220	220	0.324	0	0	0	1	1	1	0													
a	59	60	-220	220	0.145	0	0	0	1	1	1	0													
a	59	61	-220	220	0.15	0	0	0	1	1	1	0													
a	60	61	-440	440	0.0135	0	0	0	1	1	1	0													
a	60	62	-220	220	0.0561	0	0	0	1	1	1	0													
a	61	62	-220	220	0.0376	0	0	0	1	1	1	0													
a	62	66	-220	220	0.218	0	0	0	1	1	1	0													
a	62	67	-220	220	0.117	0	0	0	1	1	1	0													
a	63	59	-440	440	0.0386	0	0	0	1	1	1	0													
a	63	64	-440	440	0.02	0	0	0	1	1	1	0													
a	64	61	-220	220	0.0268	0	0	0	1	1	1	0													
a	64	65	-440	440	0.0302	0	0	0	1	1	1	0													
a	65	66	-220	220	0.037	0	0	0	1	1	1	0													
a	65	68	-220	220	0.016	0	0	0	1	1	1	0													
a	66	67	-220	220	0.1015	0	0	0	1	1	1	0													
a	68	69	-440	440	0.037	0	0	0	1	1	1	0													
a	68	116	-440	440	0.00405	0	0	0	1	1	1	0													
a	69	70	-440	440	0.127	0	0	0	1	1	1	0													
a	69	75	-440	440	0.122	0	0	0	1	1	1	0													
a	69	77	-220	220	0.101	0	0	0	1	1	1	0													
a	70	75	-220	220	0.141	0	0	0	1	1	1	0													
a	71	73	-220	220	0.0454	0	0	0	1	1	1	0													
a	75	77	-220	220	0.1999	0	0	0	1	1	1	0													
a	68	81	-220	220	0.0202	0	0	0	1	1	1	0													
a	85	86	-220	220	0.123	0	0	0	1	1	1	0													
a	81	80	-220	220	0.037	0	0	0	1	1	1	0													
a	86	87	-220	220	0.2074	0	0	0	1	1	1	0													
a	70	74	-220	220	0.1323	0	0	0	1	1	1	0													
a	74	75	-220	220	0.0406	0	0	0	1	1	1	0													
a	27	28	-220	220	0.0855	0	0	0	1	1	1	0													
a	28	31	-220	220	0.0943	0	0	0	1	1	1	0													
a	8	5	-880	880	0.0267	0	0	0	1	1	1	0													
a	8	30	-220	220	0.0504	0	0	0	1	1	1	0													
a	4	5	-440	440	0.00798	0	0	0	1	1	1	0													
a	4	11	-220	220	0.0688	0	0	0	1	1	1	0													
a	11	13	-220	220	0.0731	0	0	0	1	1	1	0													
a	13	15	-220	220	0.2444	0	0	0	1	1	1	0													
a	15	33	-220	220	0.1244	0	0	0	1	1	1	0													
a	33	37	-220	220	0.142	0	0	0	1	1	1	0													
a	34	36	-220	220	0.0268	0	0	0	1	1	1	0													
a	35	36	-220	220	0.0102	0	0	0	1	1	1	0													
a	35	37	-220	220	0.0497	0	0	0	1	1	1	0													
a	17	113	-220	220	0.0301	0	0	0	1	1	1	0													
a	32	113	-220	220	0.203	0	0	0	1	1	1	0													
a	26	25	-220	220	0.0382	0	0	0	1	1	1	0													
a	110	111	-220	220	0.0755	0	0	0	1	1	1	0													
a	110	112	-220	220	0.064	0	0	0	1	1	1	0													
a	26	30	-660	660	0.086	0	0	0	1	1	1	0													
#Time_series_for_4_time_periods																									
	#Name	#value1	#value2	#value3	#value4																				
#t	0	0.25	0.25	0.25	0.25																				
#t	1	1	1	1	1																				
#t	2	1	1	0	0																				
#t	3	1	0.59	0.99	0.64																				
#timeseries probabilities																									
t	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
#timeseries unit																									
t	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
#timeseries demand weekend winter																									
t	2	0.78	0.72	0.68	0.66	0.64	0.65	0.66	0.7	0.8	0.88	0.9	0.91	0.9	0.88	0.87	0.87	0.91	1	0.99	0.97	0.94	0.92	0.87	0.81
#timeseries demand weekday winter																									
t	3	0.67	0.63	0.6	0.59	0.59	0.6	0.74	0.86	0.95	0.96	0.96	0.95	0.95	0.95	0.93	0.94	0.99	1	1	0.96	0.91	0.83	0.73	0.63
