i	j	d
3	65	6.5188967136
3	66	2.016525297
3	67	2.6101446532
3	68	6.1737271772
3	69	4.0087591382
3	70	5.5443856165
3	71	4.570801311
3	72	2.5789171046
3	73	6.0157884983
3	74	4.1795302686
3	75	2.6922348988
3	76	2.8027332862
3	77	4.6655562491
3	78	6.9111395259
3	79	2.8916663965
3	80	5.1603435488
3	81	3.0391068161
3	82	3.4469449275
3	83	6.0110976757
3	84	5.2061175481
3	85	2.968228451
3	86	6.6491929398
3	87	6.4903085984
3	88	5.5990979097
3	89	6.4336464882
3	90	3.4638937434
3	91	5.0784955053
3	92	5.0667294134
3	93	5.1833758523
3	94	3.261548489
3	95	6.6056789181
3	96	3.9276144923
3	97	5.0074144006
3	98	4.265328291
3	99	3.437566593
3	100	3.1481436697
3	101	3.0888729319
3	102	3.4119640535
3	103	4.6230662654
3	104	6.4605539923
3	105	4.2450148301
3	106	3.62266797
3	107	2.8708203681
3	108	2.353590816
3	109	6.6994676486
3	110	6.6492745446
3	111	5.2558570678
3	112	3.7960721891
3	113	3.6441671162
3	114	6.7795027493
3	115	6.3222536097
3	116	6.0758867092
3	117	4.5685744256
3	118	4.5775139814
3	119	2.7598017416
3	120	4.3829497827
3	121	6.4903153691
3	122	4.9548631226
3	123	6.5235720554
3	124	6.9093042826
3	125	6.7347992797
3	126	5.1682115831
3	127	3.4760412469
3	128	3.1787260818
3	129	2.4033287128
3	130	2.9327555569
3	131	2.8850746769
3	132	2.1573444973
3	133	5.514948752
3	134	6.5014234746
3	135	4.9526195456
3	136	3.53885366
3	137	5.8233050116
3	138	5.2359670211
3	139	5.8218485326
3	140	5.7837674812
3	141	6.2901400264
3	142	4.3130319278
3	143	3.2860839773
3	144	3.0260732849
3	145	6.5162367958
3	146	6.7725675324
3	147	4.7548124561
3	148	2.7601850227
3	149	5.2245446338
3	150	6.8112806444
3	151	6.3429622051
3	152	4.9545950042
3	153	3.7751199015
3	154	4.2286066842
3	155	5.8958391542
3	156	3.6161766982
3	157	3.1437576363
3	158	2.6662858537
3	159	5.8550127292
3	160	5.4725905808
3	161	2.4806646265
3	162	4.4682637618
3	163	3.2683812628
3	164	2.3325720645
3	165	2.576316512
3	166	5.003226066
3	167	5.6265720234
3	168	6.8952885274
3	169	6.4059397487
3	170	3.1008713888
3	171	4.6176588296
3	172	5.8140035345
3	173	5.4451621484
3	174	6.8471221327
3	175	2.2292231308
3	176	3.0104327444
3	177	4.7887540836
3	178	6.1585774716
3	179	3.9276230815
3	180	6.6420147687
3	181	2.5516884758
3	182	3.1968924111
3	183	2.7561576393
3	184	2.0484216679
3	185	6.7326802298
3	186	4.8739150068
3	187	3.5143813968
3	188	2.695828237
3	189	6.4427122476
3	190	5.2018546822
3	191	5.1453593113
3	192	2.5575313352
3	193	5.8687935466
3	194	2.5609106298
3	195	5.5387409425
3	196	6.9686164502
3	197	2.5315452281
3	198	2.7501408508
3	199	4.0070662894
3	200	4.0917443918
3	201	3.0070282994
3	202	5.2904105975
3	203	2.2593393346
3	204	2.4240469101
3	205	5.739653583
3	206	5.3209368788
3	207	6.1856287626
3	208	2.4510538282
3	209	4.1798059843
3	210	3.1050136998
3	211	2.4808267325
3	212	3.6380702223
3	213	5.5520737286
3	214	4.1700078888
3	215	4.4327449815
3	216	3.2926327327
4	5	5.4575677027
4	6	3.8050453099
4	7	3.9284876515
4	8	2.3972749228
4	9	2.7656021164
4	10	6.9947932013
4	11	5.2510959302
4	12	5.4746163355
4	13	5.5240973502
4	14	2.1557429112
4	15	3.9515541065
4	16	2.7745873466
4	17	2.2307419596
4	18	3.0259186109
4	19	4.3490446957
4	20	2.1047768584
4	21	4.1133018178
4	22	5.9061367623
4	23	5.7122807064
4	24	6.6467870076
4	25	5.3808088877
4	26	3.2319432996
4	27	4.1913746475
4	28	3.482826947
4	29	6.0394359147
4	30	4.7837655613
4	31	4.68946465
4	32	6.6372572983
4	33	5.810469971
4	34	4.5254583976
4	35	6.7488082548
4	36	2.4420545047
4	37	6.051681561
4	38	5.5952118382
4	39	2.9237745781
4	40	6.3573883941
4	41	6.2924957114
4	42	2.0364349876
4	43	3.2303762539
4	44	2.2265965544
4	45	6.0864742403
4	46	5.2854625062
4	47	5.1653513145
4	48	3.0864175349
4	49	4.653484993
4	50	4.5820916158
4	51	2.8813678105
4	52	4.6428429143
4	53	2.3497745774
4	54	6.1013791059
4	55	3.8970118146
4	56	6.1219199631
4	57	6.4836316511
4	58	4.8217571731
4	59	3.422306379
4	60	3.6747502874
4	61	2.5829473401
4	62	2.0876516244
4	63	6.0515140463
4	64	3.0851568943
4	65	3.0596498247
4	66	5.5606373421
4	67	6.5208011938
4	68	4.3330864088
4	69	5.2429632047
4	70	3.6137436412
4	71	2.9645657898
4	72	2.6314445662
4	73	3.846911184
4	74	5.5204306028
4	75	5.091444349
4	76	3.7796768536
4	77	4.2376341057
4	78	4.6654266415
4	79	6.279080948
4	80	3.0994392219
4	81	2.0612297003
4	82	4.614139173
4	83	3.8014475199
4	84	2.0463411911
4	85	2.812854865
4	86	2.2110161168
4	87	2.4778784632
4	88	4.0220015347
4	89	4.6613488922
4	90	2.5514060266
4	91	3.2253539829
4	92	5.5952358779
4	93	6.6164416427
4	94	2.1873338829
4	95	2.222297574
4	96	3.4915025497
4	97	5.9634585795
4	98	6.1697775033
4	99	2.3862880801
4	100	3.8706530597
4	101	5.7819543033
4	102	4.5846439286
4	103	6.9746910902
4	104	4.397762452
4	105	4.362665605
4	106	3.0466200072
4	107	3.7064235414
4	108	3.7397783681
4	109	2.4806223793
4	110	3.7391166541
4	111	6.9696538155
4	112	3.2724021083
4	113	3.6342147284
4	114	2.609349185
4	115	2.9390157698
4	116	5.1098045446
4	117	3.6743869552
4	118	5.5378436668
4	119	5.3672648428
4	120	3.1366878316
4	121	2.2921018751
4	122	2.6482699796
4	123	6.9084933148
4	124	2.0209513446
4	125	6.8663565423
4	126	3.4540144016
4	127	5.0618570806
4	128	4.6498721855
4	129	2.6570683935
4	130	2.9358680043
4	131	4.7543855332
4	132	2.2265464469
4	133	3.189148536
4	134	3.8892148681
4	135	2.0708945701
4	136	5.4951817959
4	137	5.608093736
4	138	5.4928715478
4	139	5.6074410652
4	140	6.9550089286
4	141	4.263584464
4	142	3.2075940968
4	143	6.1222247524
4	144	5.0344572934
4	145	6.9888122966
4	146	5.4253710408
4	147	2.8701085722
4	148	4.118237888
4	149	3.1913848255
4	150	2.2097155481
4	151	6.2684939011
4	152	4.7436237562
4	153	5.3656566443
4	154	5.1048017126
4	155	3.3055035012
4	156	2.4212459249
4	157	2.9347939193
4	158	3.7900853333
4	159	4.9967999007
4	160	6.4412089649
4	161	5.1617623256
4	162	6.9968407117
4	163	4.7457907413
4	164	5.7068907049
4	165	5.9988506883
4	166	6.7024701837
4	167	5.8784174476
4	168	5.4350603067
4	169	3.9401841736
4	170	3.872697066
4	171	3.4333112032
4	172	4.8993330234
4	173	3.7715411059
4	174	6.9696832662
4	175	6.2301305054
4	176	6.8950360831
4	177	4.4975878058
4	178	3.606342607
4	179	6.8648416716
4	180	5.6203720228
4	181	6.255649503
4	182	2.2102745581
4	183	2.3598753574
4	184	2.2936578706
4	185	5.4512661949
4	186	4.0996236206
4	187	4.9441412529
4	188	5.9549160045
4	189	5.4278887596
4	190	6.09411977
4	191	5.9824717045
4	192	2.2565764753
4	193	3.4295914287
4	194	5.2223959725
4	195	4.7471690824
4	196	3.4398741007
4	197	4.6440729376
4	198	2.6546439443
4	199	6.7897793189
4	200	6.8094530566
4	201	5.9707429632
4	202	3.2209483428
4	203	2.3236464413
4	204	3.4741178283
4	205	3.4344503062
4	206	6.2624446304
4	207	4.638210439
4	208	4.1863605628
4	209	3.4934437426
4	210	5.7290244637
4	211	5.5969379887
4	212	6.9745966284
4	213	3.8156611951
4	214	2.0162521983
4	215	6.6870082522
4	216	3.3942156902
5	6	2.0488453871
5	7	4.7238384298
5	8	2.6989474249
5	9	5.6452212784
5	10	2.3052156816
5	11	5.2763897387
5	12	4.7407145536
5	13	3.1843831796
5	14	4.8068764265
5	15	4.947061005
5	16	3.4632087883
5	17	3.0856671217
5	18	2.4722167204
5	19	6.6168198458
5	20	6.0121048242
5	21	3.725818674
5	22	4.7955437278
5	23	5.6522536975
5	24	2.9594814949
5	25	4.9105964386
5	26	3.4103974362
5	27	2.8238524086
5	28	6.5458196847
5	29	6.3294030239
5	30	2.6510074696
5	31	4.1421448896
5	32	2.1049802825
5	33	5.011928591
5	34	4.1615689514
5	35	3.9603958386
5	36	4.9450197345
5	37	2.466949593
5	38	2.0421824772
5	39	4.6431649796
5	40	3.0119406185
5	41	3.5597848858
5	42	4.3818323912
5	43	4.0070217163
5	44	4.4745610228
5	45	6.1151661748
5	46	4.107831725
5	47	2.6210038954
5	48	6.625293589
5	49	6.511735318
5	50	6.3544830146
5	51	2.6539204859
5	52	6.1668651971
5	53	2.4294867513
5	54	2.9314379589
5	55	2.5945117216
5	56	6.7346353576
5	57	4.6443828166
5	58	2.8463577418
5	59	2.0264965091
5	60	3.8921832749
5	61	5.3932952133
5	62	2.8724149647
5	63	2.6288124321
5	64	4.3946818534
5	65	3.0083177295
5	66	2.1951250155
5	67	2.0156387384
5	68	2.9223375008
5	69	3.370660491
5	70	5.5071248089
5	71	4.2454126469
5	72	3.070879817
5	73	4.511044693
5	74	4.2574044775
5	75	2.2592060251
5	76	6.3395582467
5	77	3.7421369821
5	78	3.6185896199
5	79	5.5414303763
5	80	6.0650623869
5	81	4.460118971
5	82	4.0273244786
5	83	4.7744179837
5	84	3.604247392
5	85	3.8796814382
5	86	4.649622775
5	87	5.7798588415
5	88	3.5693216895
5	89	6.8569225473
5	90	2.0150895631
5	91	3.2404306867
5	92	4.0943009281
5	93	4.7108598653
5	94	3.7499810908
5	95	5.6786865926
5	96	2.1150013763
5	97	4.4844465533
5	98	4.2843575349
5	99	2.0037199562
5	100	3.8123392816
5	101	4.3589711275
5	102	6.4612885404
5	103	4.7515292646
5	104	5.6653975065
5	105	2.7259748903
5	106	5.5587670787
5	107	5.2538706079
5	108	3.8190939011
5	109	6.8929581861
5	110	5.2703992553
5	111	5.2349284241
5	112	5.854994473
5	113	4.0150407064
5	114	5.1525675245
5	115	4.3563435289
5	116	3.5444892768
5	117	5.9035068331
5	118	2.0578194834
5	119	2.5047427423
5	120	5.6525788874
5	121	4.7204910422
5	122	6.6642842375
5	123	6.7163118723
5	124	6.2738646382
5	125	3.4900465363
5	126	6.4738288617
5	127	6.7267846482
5	128	5.739858616
5	129	5.2652423872
5	130	6.0975735262
5	131	2.0921464991
5	132	3.7003584871
5	133	4.3280609317
5	134	5.1443093033
5	135	5.0829037857
5	136	2.0760897412
5	137	3.7287174085
5	138	4.0182475923
5	139	3.3558511466
5	140	3.2675231026
5	141	2.5870855113
5	142	5.633573809
5	143	4.7868985956
5	144	3.7539873401
5	145	4.3285781836
5	146	4.7172419651
5	147	4.9273618864
5	148	2.9170507295
5	149	6.1500151782
5	150	5.945715222
5	151	6.9431822123
5	152	4.103265767
5	153	5.435876115
5	154	6.3399454091
5	155	6.2467513002
5	156	4.6289998473
5	157	4.4651207134
5	158	6.5837945489
5	159	2.883421102
5	160	5.4478420664
5	161	6.2334537554
5	162	5.3948925433
5	163	3.8779214364
5	164	4.744787509
5	165	2.7224017827
5	166	2.6176340373
5	167	5.2218236375
5	168	5.9518521675
5	169	6.8012416297
5	170	3.5859446403
5	171	5.9675845876
5	172	3.4933759354
5	173	2.4044198223
5	174	6.1286084518
5	175	6.5582654279
5	176	6.4819146951
5	177	2.8568762596
5	178	5.3657241093
5	179	2.4819175347
5	180	4.7586270346
5	181	3.9667121498
5	182	4.6105360676
5	183	5.5715665405
5	184	3.8992319759
5	185	3.2638148555
5	186	6.6585644058
5	187	6.1553577288
5	188	3.907786672
5	189	3.5813960678
5	190	4.3600011144
5	191	6.4702265898
5	192	4.5799036504
5	193	4.0515504163
5	194	6.4017102776
5	195	4.8686970393
5	196	5.4382401446
5	197	3.5925996805
5	198	5.1808280447
5	199	3.6810882379
5	200	2.459083305
5	201	5.2148848792
5	202	2.744067517
5	203	5.9608574165
5	204	3.5780670389
5	205	5.4746531623
5	206	3.2889317289
5	207	6.6218201796
5	208	4.0568011827
5	209	2.3164569476
5	210	2.170612482
5	211	3.3251237508
5	212	5.856953219
5	213	5.9446760337
5	214	2.0738644787
5	215	5.3218701153
5	216	6.5214348796
6	7	6.946977382
6	8	6.06988271
6	9	6.5241992104
6	10	5.4231535012
6	11	2.0674817781
6	12	5.5427742491
6	13	2.8686275528
6	14	2.1386087249
6	15	4.9843615056
6	16	4.998049086
6	17	2.9558265102
6	18	5.000811582
6	19	2.6794775304
6	20	3.8488709847
6	21	6.3902865771
6	22	4.2636822529
6	23	5.3472567323
6	24	4.7525114863
6	25	3.1387360567
6	26	5.704341363
6	27	6.9667228735
6	28	6.1135565001
6	29	4.74459927
6	30	3.4531769075
6	31	3.9552192311
6	32	5.2443300789
6	33	6.6434451685
6	34	3.1751651304
6	35	2.9100808766
6	36	2.0666306587
6	37	2.4313434057
6	38	3.6672654947
6	39	2.2657893255
6	40	5.2192949151
6	41	2.0623160741
6	42	6.7406569774
6	43	6.6724000991
6	44	5.1577184601
6	45	2.0705588935
6	46	3.3770998555
6	47	2.4565294741
6	48	3.1435839795
6	49	5.4999349567
6	50	5.5207285376
6	51	5.9932422102
6	52	6.2408375927
6	53	5.8269131323
6	54	5.5127249842
6	55	6.8244253103
6	56	6.440584073
6	57	5.5660024423
6	58	6.2953162777
6	59	2.5173556695
6	60	6.9917209288
6	61	6.0274964734
6	62	4.8093571858
6	63	2.6919054248
6	64	4.3860813758
6	65	3.0956844599
6	66	5.2216090677
6	67	2.974116703
6	68	4.4724003312
6	69	5.5430632595
6	70	3.962774774
6	71	2.8495340104
6	72	3.9408143297
6	73	4.4703087879
6	74	5.9877660731
6	75	2.1415484353
6	76	4.9883968634
6	77	5.6581802548
6	78	5.8036824501
6	79	3.4611005604
6	80	6.3214932104
6	81	2.3723086023
6	82	3.0507955174
6	83	3.476006909
6	84	4.0388274021
6	85	3.0614365996
6	86	4.8884245282
6	87	4.8289646133
6	88	3.1832526681
6	89	6.0031780368
6	90	2.2171954351
6	91	3.0049788402
6	92	6.727361081
6	93	2.2057899652
6	94	3.684572588
6	95	5.6095954099
6	96	6.4872851691
6	97	2.0994470902
6	98	3.3737719838
6	99	3.2031675299
6	100	5.6327475117
6	101	6.1052521179
6	102	5.1316130646
6	103	2.0903948769
6	104	2.1969671693
6	105	3.0170420148
6	106	4.031009729
6	107	6.3264284261
6	108	5.2512410419
6	109	4.4354371393
6	110	4.4201121286
6	111	2.4051280047
6	112	4.0544195604
6	113	2.1779147983
6	114	3.2848584383
6	115	3.9107513045
6	116	2.782168303
6	117	4.1681939308
6	118	2.9149444317
6	119	6.0556931794
6	120	6.8635334777
6	121	5.6489066242
6	122	6.7745529375
6	123	5.7915700971
6	124	2.2604530031
6	125	6.1315948354
6	126	5.3606740522
6	127	4.1340155751
6	128	5.094931535
6	129	3.3522391749
6	130	3.3503127109
6	131	3.9508302989
6	132	3.4297458583
6	133	5.284238916
6	134	5.1183840396
6	135	4.173624042
6	136	5.3138323754
6	137	3.3255544921
6	138	3.0836643358
6	139	2.7075404705
6	140	3.5552401876
6	141	6.6628298376
6	142	3.1219865881
6	143	3.1882715142
6	144	2.2348376719
6	145	6.6847244188
6	146	5.3953361765
6	147	6.7933780774
6	148	3.4137447469
6	149	3.3396915753
6	150	5.4100910083
6	151	6.3897435625
6	152	6.6365741848
6	153	5.3446052337
6	154	3.6318161048
6	155	4.4873828317
6	156	6.114253304
6	157	3.1100167763
6	158	4.955059343
6	159	6.051243681
6	160	2.8923053489
6	161	4.7008992097
6	162	5.5694003355
6	163	3.3703023672
6	164	2.2683645954
6	165	2.967310423
6	166	2.1909172117
6	167	5.0918382099
6	168	6.9708580621
6	169	4.9742189743
6	170	5.061760074
6	171	3.247326851
6	172	3.7758239535
6	173	6.5364234711
6	174	6.8285806993
6	175	3.9775254289
6	176	3.3316481916
6	177	5.4678643772
6	178	5.0511968248
6	179	2.4036421424
6	180	3.4640642477
6	181	5.0482487069
6	182	2.900408647
6	183	2.8521719979
6	184	3.3725463237
6	185	5.9975773958
6	186	4.6756129496
6	187	4.5465589331
6	188	5.8480972423
6	189	5.7692327885
6	190	6.8238450777
6	191	5.6800829757
6	192	6.2227525284
6	193	4.216956705
6	194	6.4292707273
6	195	3.3155969401
6	196	2.6786114446
6	197	6.0404460598
6	198	3.5376034922
6	199	4.0376651418
6	200	3.5097277409
6	201	6.5099258653
6	202	4.3495454934
6	203	6.0253048572
6	204	5.8729923865
6	205	3.9552420834
6	206	2.2824440972
6	207	3.7471657469
6	208	4.5529864652
6	209	2.8986027287
6	210	4.7131394263
6	211	4.7172824869
6	212	5.3701878033
6	213	5.0370866894
6	214	3.8611310734
6	215	3.8158358856
6	216	4.7995081003
7	8	5.6182411893
7	9	5.4835235791
7	10	4.1536651566
7	11	4.3229119216
7	12	2.250320153
7	13	6.5671324244
7	14	3.7965727797
7	15	5.2563515442
