d	B
26_09_2007	8205428.012
27_09_2007	16005525.524
28_09_2007	24850634.378
29_09_2007	24499935.717
30_09_2007	24244128.012
01_10_2007	27879832.695
02_10_2007	28179417.293
03_10_2007	26576945.866
04_10_2007	20398504.403
05_10_2007	14352369.092
06_10_2007	12870123.635
07_10_2007	15869878.012
08_10_2007	18354750
09_10_2007	11214250
10_10_2007	14589200
11_10_2007	12869600
12_10_2007	14770100
13_10_2007	7870644.895
14_10_2007	18851428.012
15_10_2007	15589900
16_10_2007	7244600
17_10_2007	9767950
18_10_2007	9717750
19_10_2007	12132150
20_10_2007	9101878.012
21_10_2007	22569928.012
22_10_2007	18392450
23_10_2007	14236300
24_10_2007	13148800
25_10_2007	17139950
26_10_2007	13799000
27_10_2007	6997326.508
28_10_2007	15965128.012
29_10_2007	19661250
30_10_2007	14266850
31_10_2007	12914300
01_11_2007	11059200
02_11_2007	14172600
03_11_2007	8997870.303
04_11_2007	11952600
05_11_2007	15556700
06_11_2007	16008800
07_11_2007	12556400
08_11_2007	18675150
09_11_2007	28972500
10_11_2007	29592948.137
11_11_2007	26547100
12_11_2007	19843550
13_11_2007	16461250
14_11_2007	19980800
15_11_2007	16837000
16_11_2007	23332200
17_11_2007	7474528.012
18_11_2007	19101428.012
19_11_2007	12175500
20_11_2007	10496300
21_11_2007	13555300
22_11_2007	12474600
23_11_2007	11229500
24_11_2007	13630902.964
25_11_2007	20201928.012
26_11_2007	11601500
27_11_2007	14679000
28_11_2007	15232200
29_11_2007	12392300
30_11_2007	8066600
01_12_2007	8189382.418
02_12_2007	17099528.012
03_12_2007	17162200
04_12_2007	16640100
05_12_2007	16055500
06_12_2007	17595500
07_12_2007	18196450
08_12_2007	5747410.098
09_12_2007	17525028.012
10_12_2007	6081728.012
11_12_2007	4908928.012
12_12_2007	7035628.012
13_12_2007	7538778.012
14_12_2007	5006028.012
15_12_2007	7611889.85
16_12_2007	18255928.012
17_12_2007	8240678.012
18_12_2007	7567328.012
19_12_2007	7070078.012
20_12_2007	10404578.012
21_12_2007	17515928.012
22_12_2007	10341328.012
23_12_2007	22501128.012
24_12_2007	11132628.012
25_12_2007	14608228.012
26_12_2007	13186128.012
27_12_2007	12502278.012
28_12_2007	13790478.012
29_12_2007	13934263.965
30_12_2007	18057228.012
01_01_2008	9603350
02_01_2008	8920200
03_01_2008	8249800
04_01_2008	10988350
05_01_2008	9043560.724
06_01_2008	16560728.012
07_01_2008	9063300
08_01_2008	9497250
09_01_2008	9256000
10_01_2008	6182200
11_01_2008	6672000
12_01_2008	6823612.116
13_01_2008	19351228.012
14_01_2008	9614228.012
15_01_2008	8545178.012
16_01_2008	7137928.012
17_01_2008	8567578.012
18_01_2008	7644878.012
19_01_2008	10541697.275
20_01_2008	21991628.012
21_01_2008	7775128.012
22_01_2008	8504228.012
23_01_2008	4524678.012
24_01_2008	8742128.012
25_01_2008	11316928.012
26_01_2008	26200965.451
27_01_2008	23922328.012
28_01_2008	21393600
29_01_2008	13799428.012
30_01_2008	14643728.012
31_01_2008	16683278.012
02_02_2008	13449944.734
03_02_2008	15370928.012
04_02_2008	12217695
05_02_2008	13535895
06_02_2008	9472245
07_02_2008	8848645
08_02_2008	11691895
09_02_2008	6779654.749
10_02_2008	17257728.012
11_02_2008	13351481
12_02_2008	9091544
13_02_2008	10325094
14_02_2008	8365694
15_02_2008	11249831
16_02_2008	8146965.118
17_02_2008	19114028.012
18_02_2008	13597328.012
19_02_2008	8685328.012
20_02_2008	5928128.012
21_02_2008	7774778.012
22_02_2008	7668578.012
23_02_2008	10720439.897
24_02_2008	20575928.012
25_02_2008	10398628.012
26_02_2008	11738128.012
27_02_2008	5366628.012
28_02_2008	14720745
29_02_2008	10692895
01_03_2008	17387555.959
02_03_2008	13603828.012
03_03_2008	13830557.613
04_03_2008	13015747.5
05_03_2008	9829847.5
06_03_2008	15993600
07_03_2008	12447947.5
08_03_2008	9865969.513
09_03_2008	20524128.012
10_03_2008	8191995
11_03_2008	4712178.012
12_03_2008	6710745
13_03_2008	9871845
14_03_2008	9346045
15_03_2008	5054228.991
16_03_2008	20284528.012
17_03_2008	10669328.012
18_03_2008	10094128.012
19_03_2008	7394428.012
20_03_2008	7187928.012
21_03_2008	19584928.012
22_03_2008	29732728.012
23_03_2008	22378028.012
24_03_2008	11682478.012
25_03_2008	7004778.012
26_03_2008	7264778.012
27_03_2008	5725778.012
28_03_2008	6578728.012
29_03_2008	8277152.554
30_03_2008	18056428.012
