a	d	CA	CB	CC	CD	CE	CW
S1AD0108	03_10_2007	436580.77044	84600	-84600	1499179.0339	-1670050	3636300
S1AD0108	04_10_2007	-145878.5709	84600	-84600	820107.05804	-406550	2372800
S1AD0108	05_10_2007	-145878.5709	84600	-84600	820107.05804	-1223550	3189800
S1AD0108	06_10_2007	-45555.53327	84600	-84600	575476.84721	-1050450	3016700
S1AD0108	07_10_2007	-113079.7206	84600	-84600	648964.94189	-463850	2430100
S1AD0108	08_10_2007	126309.99911	84600	-84600	1052226.4269	643450	1322800
S1AD0108	09_10_2007	126309.99911	84600	-84600	1052226.4269	-1926750	3893000
S1AD0108	10_10_2007	274477.27242	84600	-84600	980431.1878	-709150	2675400
S1AD0108	11_10_2007	274477.27242	84600	-84600	980431.1878	-739250	2705500
S1AD0108	12_10_2007	473844.203	84600	-84600	901930.0483	-1422850	3389100
S1AD0108	13_10_2007	608320.96909	84600	-84600	632892.81017	-825050	2791300
S1AD0108	14_10_2007	194696.42818	84600	-84600	556269.03716	-187350	2153600
S1AD0108	15_10_2007	473844.203	84600	-84600	901930.0483	882950	1083300
S1AD0108	16_10_2007	473844.203	84600	-84600	901930.0483	-2968050	4934300
S1AD0108	17_10_2007	473844.203	84600	-84600	901930.0483	-1045950	3012200
S1AD0108	18_10_2007	473844.203	84600	-84600	901930.0483	-487450	2453700
S1AD0108	19_10_2007	473844.203	84600	-84600	901930.0483	-26350	1992600
S1AD0108	20_10_2007	608320.96909	84600	-84600	632892.81017	-701150	2667400
S1AD0108	21_10_2007	194696.42818	84600	-84600	556269.03716	1135750	830500
S1AD0108	22_10_2007	473844.203	84600	-84600	901930.0483	1048350	917900
S1AD0108	23_10_2007	473844.203	84600	-84600	901930.0483	-817650	2783900
S1AD0108	24_10_2007	473844.203	84600	-84600	901930.0483	-1105350	3071600
S1AD0108	25_10_2007	473844.203	84600	-84600	901930.0483	-630450	2596700
S1AD0108	26_10_2007	473844.203	84600	-84600	901930.0483	-1363950	3330200
S1AD0108	27_10_2007	608320.96909	84600	-84600	632892.81017	-1378450	3344700
S1AD0108	28_10_2007	110823.47397	84600	-84600	750741.15203	-769550	2735800
S1AD0108	29_10_2007	379136.66809	84600	-84600	1217245.5382	496950	1469300
S1AD0108	30_10_2007	379136.66809	84600	-84600	1217245.5382	-2551250	4517500
S1AD0108	31_10_2007	379136.66809	84600	-84600	1217245.5382	-2264350	4230600
S1AD0108	01_11_2007	436580.77044	84600	-84600	1499179.0339	-75350	2041600
S1AD0108	02_11_2007	436580.77044	84600	-84600	1499179.0339	-4259550	6225800
S1AD0108	03_11_2007	569003.9003	84600	-84600	1051988.0488	1229250	737000
S1AD0108	04_11_2007	-354129.8069	84600	-84600	505804.37409	-2491350	4457600
S1AD0108	05_11_2007	-145878.5709	84600	-84600	820107.05804	-1533750	3500000
S1AD0108	06_11_2007	-145878.5709	84600	-84600	820107.05804	-2299450	4265700
S1AD0108	07_11_2007	126309.99911	84600	-84600	1052226.4269	-1806850	3773100
S1AD0108	08_11_2007	126309.99911	84600	-84600	1052226.4269	-896750	2863000
S1AD0108	09_11_2007	126309.99911	84600	-84600	1052226.4269	578750	1387500
S1AD0108	10_11_2007	397966.66765	84600	-84600	687977.79914	1355250	611000
S1AD0108	11_11_2007	18137.155963	84600	-84600	604684.93519	1222250	744000
S1AD0108	12_11_2007	473844.203	84600	-84600	901930.0483	888450	1077800
S1AD0108	13_11_2007	473844.203	84600	-84600	901930.0483	141550	1824700
S1AD0108	14_11_2007	473844.203	84600	-84600	901930.0483	-713950	2680200
S1AD0108	15_11_2007	473844.203	84600	-84600	901930.0483	-450950	2417200
S1AD0108	16_11_2007	473844.203	84600	-84600	901930.0483	-662450	2628700
S1AD0108	17_11_2007	608320.96909	84600	-84600	632892.81017	-1466350	3432600
S1AD0108	18_11_2007	194696.42818	84600	-84600	556269.03716	-317450	2283700
S1AD0108	19_11_2007	473844.203	84600	-84600	901930.0483	-117950	2084200
S1AD0108	20_11_2007	473844.203	84600	-84600	901930.0483	-856050	2822300
S1AD0108	21_11_2007	473844.203	84600	-84600	901930.0483	-427350	2393600
S1AD0108	22_11_2007	473844.203	84600	-84600	901930.0483	-1028350	2994600
S1AD0108	23_11_2007	473844.203	84600	-84600	901930.0483	-1116950	3083200
S1AD0108	24_11_2007	608320.96909	84600	-84600	632892.81017	-768050	2734300
S1AD0108	25_11_2007	194696.42818	84600	-84600	556269.03716	-406650	2372900
S1AD0108	26_11_2007	473844.203	84600	-84600	901930.0483	936750	1029500
S1AD0108	27_11_2007	473844.203	84600	-84600	901930.0483	-1466450	3432700
S1AD0108	28_11_2007	379136.66809	84600	-84600	1217245.5382	-1201750	3168000
S1AD0108	29_11_2007	379136.66809	84600	-84600	1217245.5382	-1671150	3637400
S1AD0108	30_11_2007	379136.66809	84600	-84600	1217245.5382	-569150	2535400
S1AD0108	01_12_2007	569003.9003	84600	-84600	1051988.0488	-1462650	3428900
S1AD0108	02_12_2007	161695.94755	84600	-84600	924624.78584	-239250	2205500
S1AD0108	03_12_2007	436580.77044	84600	-84600	1499179.0339	1044950	921300
S1AD0108	04_12_2007	-145878.5709	84600	-84600	820107.05804	431750	1534500
S1AD0108	05_12_2007	-145878.5709	84600	-84600	820107.05804	893150	1073100
S1AD0108	06_12_2007	-145878.5709	84600	-84600	820107.05804	1001150	965100
S1AD0108	07_12_2007	126309.99911	84600	-84600	1052226.4269	-995750	2962000
S1AD0108	08_12_2007	241633.70303	84600	-84600	738357.19465	-629250	2595500
S1AD0108	09_12_2007	-113079.7206	84600	-84600	648964.94189	-64050	2030300
S1AD0108	10_12_2007	274477.27242	84600	-84600	980431.1878	1054650	911600
S1AD0108	11_12_2007	274477.27242	84600	-84600	980431.1878	-816950	2783200
S1AD0108	12_12_2007	473844.203	84600	-84600	901930.0483	-932850	2899100
S1AD0108	13_12_2007	473844.203	84600	-84600	901930.0483	-1010750	2977000
S1AD0108	14_12_2007	473844.203	84600	-84600	901930.0483	-1332750	3299000
S1AD0108	15_12_2007	608320.96909	84600	-84600	632892.81017	-290350	2256600
S1AD0108	16_12_2007	-368475.3708	84600	-84600	751653.48945	-785550	2751800
S1AD0108	17_12_2007	-162077.2729	84600	-84600	1218724.7946	881750	1084500
S1AD0108	18_12_2007	-162077.2729	84600	-84600	1218724.7946	-868350	2834600
S1AD0108	19_12_2007	-162077.2729	84600	-84600	1218724.7946	118750	1847500
S1AD0108	20_12_2007	-162077.2729	84600	-84600	1218724.7946	-605650	2571900
S1AD0108	21_12_2007	-162077.2729	84600	-84600	1218724.7946	1758950	207300
S1AD0108	22_12_2007	-62646.96669	84600	-84600	855190.66749	321850	1644400
S1AD0108	23_12_2007	-368475.3708	84600	-84600	751653.48945	1458750	507500
S1AD0108	24_12_2007	-162077.2729	84600	-84600	1218724.7946	1456250	510000
S1AD0108	25_12_2007	-162077.2729	84600	-84600	1218724.7946	299250	1667000
S1AD0108	26_12_2007	-162077.2729	84600	-84600	1218724.7946	-2253150	4219400
S1AD0108	27_12_2007	473844.203	84600	-84600	901930.0483	-905750	2872000
S1AD0108	28_12_2007	379136.66809	84600	-84600	1217245.5382	-658150	2624400
S1AD0108	29_12_2007	508393.97874	84600	-84600	854152.65938	-1391850	3358100
S1AD0108	30_12_2007	110823.47397	84600	-84600	750741.15203	516250	1450000
S1AD0108	01_01_2008	340487.91344	141071.429	-141071.429	1499179.0339	810642.857	1251700
S1AD0108	02_01_2008	340487.91344	141071.429	-141071.429	1499179.0339	1088642.857	973700
S1AD0108	03_01_2008	340487.91344	141071.429	-141071.429	1499179.0339	-1611357.143	3673700
S1AD0108	04_01_2008	-241971.4279	141071.429	-141071.429	820107.05804	527142.857	1535200
S1AD0108	05_01_2008	-141648.3903	141071.429	-141071.429	575476.84721	-559257.143	2621600
S1AD0108	06_01_2008	-450222.6639	141071.429	-141071.429	505804.37409	-366657.143	2429000
S1AD0108	07_01_2008	30217.142112	141071.429	-141071.429	1052226.4269	688542.857	1373800
S1AD0108	08_01_2008	30217.142112	141071.429	-141071.429	1052226.4269	846842.857	1215500
S1AD0108	09_01_2008	30217.142112	141071.429	-141071.429	1052226.4269	1300342.857	762000
S1AD0108	10_01_2008	178384.41542	141071.429	-141071.429	980431.1878	-1675857.143	3738200
S1AD0108	11_01_2008	178384.41542	141071.429	-141071.429	980431.1878	18242.857	2044100
S1AD0108	12_01_2008	512228.11209	141071.429	-141071.429	632892.81017	-62357.143	2124700
S1AD0108	13_01_2008	98603.571178	141071.429	-141071.429	556269.03716	-94657.143	2157000
S1AD0108	14_01_2008	377751.346	141071.429	-141071.429	901930.0483	1122142.857	940200
S1AD0108	15_01_2008	377751.346	141071.429	-141071.429	901930.0483	-342257.143	2404600
S1AD0108	16_01_2008	377751.346	141071.429	-141071.429	901930.0483	-954957.143	3017300
S1AD0108	17_01_2008	377751.346	141071.429	-141071.429	901930.0483	266142.857	1796200
S1AD0108	18_01_2008	377751.346	141071.429	-141071.429	901930.0483	313142.857	1749200
S1AD0108	19_01_2008	512228.11209	141071.429	-141071.429	632892.81017	-423957.143	2486300
S1AD0108	20_01_2008	98603.571178	141071.429	-141071.429	556269.03716	517542.857	1544800
S1AD0108	21_01_2008	-245333.7655	141071.429	-141071.429	971511.86987	1302242.857	760100
S1AD0108	22_01_2008	-245333.7655	141071.429	-141071.429	971511.86987	44142.857	2018200
S1AD0108	23_01_2008	-245333.7655	141071.429	-141071.429	971511.86987	-943157.143	3005500
S1AD0108	24_01_2008	-245333.7655	141071.429	-141071.429	971511.86987	-643957.143	2706300
S1AD0108	25_01_2008	-245333.7655	141071.429	-141071.429	971511.86987	-167257.143	2229600
S1AD0108	26_01_2008	-145196.0305	141071.429	-141071.429	681719.02973	1527342.857	535000
S1AD0108	27_01_2008	-453200.3487	141071.429	-141071.429	599183.90951	-90657.143	2153000
S1AD0108	28_01_2008	-315857.4575	141071.429	-141071.429	1311153.222	1406942.857	655400
S1AD0108	29_01_2008	-315857.4575	141071.429	-141071.429	1311153.222	-788657.143	2851000
S1AD0108	30_01_2008	-315857.4575	141071.429	-141071.429	1311153.222	-361557.143	2423900
S1AD0108	31_01_2008	-315857.4575	141071.429	-141071.429	1311153.222	1413242.857	649100
S1AD0108	02_02_2008	472911.0433	141071.429	-141071.429	1051988.0488	-381157.143	2443500
S1AD0108	03_02_2008	65603.090552	141071.429	-141071.429	924624.78584	-750857.143	2813200
S1AD0108	04_02_2008	-241971.4279	141071.429	-141071.429	820107.05804	1393642.857	668700
S1AD0108	05_02_2008	-241971.4279	141071.429	-141071.429	820107.05804	-1036257.143	3098600
S1AD0108	06_02_2008	-241971.4279	141071.429	-141071.429	820107.05804	-1016057.143	3078400
S1AD0108	07_02_2008	30217.142112	141071.429	-141071.429	1052226.4269	-706257.143	2768600
S1AD0108	08_02_2008	30217.142112	141071.429	-141071.429	1052226.4269	-250257.143	2312600
S1AD0108	09_02_2008	145540.84603	141071.429	-141071.429	738357.19465	-1719757.143	3782100
S1AD0108	10_02_2008	-77955.70104	141071.429	-141071.429	604684.93519	-466857.143	2529200
S1AD0108	11_02_2008	178384.41542	141071.429	-141071.429	980431.1878	535342.857	1527000
S1AD0108	12_02_2008	377751.346	141071.429	-141071.429	901930.0483	-1214357.143	3276700
S1AD0108	13_02_2008	377751.346	141071.429	-141071.429	901930.0483	-1199957.143	3262300
S1AD0108	14_02_2008	377751.346	141071.429	-141071.429	901930.0483	-555357.143	2617700
S1AD0108	15_02_2008	377751.346	141071.429	-141071.429	901930.0483	-678357.143	2740700
S1AD0108	16_02_2008	512228.11209	141071.429	-141071.429	632892.81017	-1329757.143	3392100
S1AD0108	17_02_2008	98603.571178	141071.429	-141071.429	556269.03716	-435657.143	2498000
S1AD0108	18_02_2008	377751.346	141071.429	-141071.429	901930.0483	544042.857	1518300
S1AD0108	19_02_2008	377751.346	141071.429	-141071.429	901930.0483	-1262157.143	3324500
S1AD0108	20_02_2008	377751.346	141071.429	-141071.429	901930.0483	-926057.143	2988400
S1AD0108	21_02_2008	377751.346	141071.429	-141071.429	901930.0483	46842.857	2015500
S1AD0108	22_02_2008	377751.346	141071.429	-141071.429	901930.0483	-1146957.143	3209300
S1AD0108	23_02_2008	512228.11209	141071.429	-141071.429	632892.81017	137642.857	1924700
S1AD0108	24_02_2008	98603.571178	141071.429	-141071.429	556269.03716	-45657.143	2108000
S1AD0108	25_02_2008	377751.346	141071.429	-141071.429	901930.0483	1402442.857	659900
S1AD0108	26_02_2008	377751.346	141071.429	-141071.429	901930.0483	-1582757.143	3645100
S1AD0108	27_02_2008	377751.346	141071.429	-141071.429	901930.0483	-1114557.143	3176900
S1AD0108	28_02_2008	283043.81109	141071.429	-141071.429	1217245.5382	-1492557.143	3554900
S1AD0108	29_02_2008	283043.81109	141071.429	-141071.429	1217245.5382	-802357.143	2864700
S1AD0108	01_03_2008	470611.0433	700450	-700450	1051988.0488	-450357.143	2515000
S1AD0108	02_03_2008	63303.090552	700450	-700450	924624.78584	-144157.143	2208800
S1AD0108	03_03_2008	338187.91344	700450	-700450	1499179.0339	852642.857	1212000
S1AD0108	04_03_2008	-244271.4279	700450	-700450	820107.05804	-1039257.143	3103900
S1AD0108	05_03_2008	-244271.4279	700450	-700450	820107.05804	-1251557.143	3316200
S1AD0108	06_03_2008	-244271.4279	700450	-700450	820107.05804	-484057.143	2548700
S1AD0108	07_03_2008	27917.142112	700450	-700450	1052226.4269	-340257.143	2404900
S1AD0108	08_03_2008	143240.84603	700450	-700450	738357.19465	-2240157.143	4304800
S1AD0108	09_03_2008	-211472.5776	700450	-700450	648964.94189	2038342.857	26300
S1AD0108	10_03_2008	176084.41542	700450	-700450	980431.1878	615842.857	1448800
S1AD0108	11_03_2008	176084.41542	700450	-700450	980431.1878	-2059357.143	4124000
S1AD0108	12_03_2008	375451.346	700450	-700450	901930.0483	-1059857.143	3124500
S1AD0108	13_03_2008	375451.346	700450	-700450	901930.0483	-1415157.143	3479800
S1AD0108	14_03_2008	375451.346	700450	-700450	901930.0483	-1176457.143	3241100
S1AD0108	15_03_2008	509928.11209	700450	-700450	632892.81017	-1357757.143	3422400
S1AD0108	16_03_2008	96303.571178	700450	-700450	556269.03716	94542.857	1970100
S1AD0108	17_03_2008	375451.346	700450	-700450	901930.0483	487642.857	1577000
S1AD0108	18_03_2008	375451.346	700450	-700450	901930.0483	-965457.143	3030100
S1AD0108	19_03_2008	375451.346	700450	-700450	901930.0483	-74057.143	2138700
S1AD0108	20_03_2008	375451.346	700450	-700450	901930.0483	-1102457.143	3167100
S1AD0108	21_03_2008	375451.346	700450	-700450	901930.0483	549542.857	1515100
S1AD0108	22_03_2008	509928.11209	700450	-700450	632892.81017	1831642.857	233000
S1AD0108	23_03_2008	96303.571178	700450	-700450	556269.03716	890642.857	1174000
S1AD0108	24_03_2008	375451.346	700450	-700450	901930.0483	1357142.857	707500
S1AD0108	25_03_2008	375451.346	700450	-700450	901930.0483	-1095857.143	3160500
S1AD0108	26_03_2008	375451.346	700450	-700450	901930.0483	-837857.143	2902500
S1AD0108	27_03_2008	375451.346	700450	-700450	901930.0483	-2457857.143	4522500
S1AD0108	28_03_2008	280743.81109	700450	-700450	1217245.5382	-1439357.143	3504000
S1AD0108	29_03_2008	410001.12174	700450	-700450	854152.65938	-322357.143	2387000
S1AD0108	30_03_2008	12430.616974	700450	-700450	750741.15203	-1122257.143	3186900
S1AN1553	01_07_2007	-2940395.127	-127921.429	127921.429	362643.7337	2980307.143	1201900
S1AN1553	02_07_2007	581584.52301	-127921.429	127921.429	1227360.4351	310407.143	3871800
S1AN1553	03_07_2007	581584.52301	-127921.429	127921.429	1227360.4351	517407.143	3664800
S1AN1553	04_07_2007	429642.85659	-127921.429	127921.429	712294.43573	-199092.857	4381300
S1AN1553	05_07_2007	429642.85659	-127921.429	127921.429	712294.43573	-213092.857	4395300
S1AN1553	06_07_2007	429642.85659	-127921.429	127921.429	712294.43573	81107.143	4101100
S1AN1553	07_07_2007	202408.167	-127921.429	127921.429	788927.60685	-117992.857	4300200
S1AN1553	08_07_2007	-3016495.065	-127921.429	127921.429	193908.13864	3376307.143	805900
S1AN1553	09_07_2007	289652.85874	-127921.429	127921.429	656278.20162	-179792.857	4362000
S1AN1553	10_07_2007	552647.4031	-127921.429	127921.429	593781.33151	127107.143	4055100
S1AN1553	11_07_2007	552647.4031	-127921.429	127921.429	593781.33151	300907.143	3881300
S1AN1553	12_07_2007	193332.563	-127921.429	127921.429	1141006.056	339607.143	3842600
S1AN1553	13_07_2007	193332.563	-127921.429	127921.429	1141006.056	-331792.857	4514000
S1AN1553	14_07_2007	107967.05224	-127921.429	127921.429	1371630.4685	-1175992.857	5358200
S1AN1553	15_07_2007	-3041603.573	-127921.429	127921.429	337128.91866	3206207.143	976000
S1AN1553	16_07_2007	193332.563	-127921.429	127921.429	1141006.056	1217607.143	2964600
S1AN1553	17_07_2007	193332.563	-127921.429	127921.429	1141006.056	-1173792.857	5356000
S1AN1553	18_07_2007	193332.563	-127921.429	127921.429	1141006.056	-12292.857	4194500
S1AN1553	19_07_2007	193332.563	-127921.429	127921.429	1141006.056	-543692.857	4725900
S1AN1553	20_07_2007	193332.563	-127921.429	127921.429	1141006.056	2030907.143	2151300
S1AN1553	21_07_2007	107967.05224	-127921.429	127921.429	1371630.4685	1684807.143	2497400
S1AN1553	22_07_2007	-3041603.573	-127921.429	127921.429	337128.91866	3685207.143	497000
S1AN1553	23_07_2007	193332.563	-127921.429	127921.429	1141006.056	1576607.143	2605600
S1AN1553	24_07_2007	193332.563	-127921.429	127921.429	1141006.056	1857207.143	2325000
S1AN1553	25_07_2007	193332.563	-127921.429	127921.429	1141006.056	2339707.143	1842500
S1AN1553	26_07_2007	193332.563	-127921.429	127921.429	1141006.056	-881692.857	5063900
S1AN1553	27_07_2007	193332.563	-127921.429	127921.429	1141006.056	-1935592.857	6117800
S1AN1553	28_07_2007	-100654.848	-127921.429	127921.429	1651588.909	1354407.143	2827800
S1AN1553	29_07_2007	-3097068.66	-127921.429	127921.429	405939.05993	3098607.143	1083600
S1AN1553	30_07_2007	-19440.47736	-127921.429	127921.429	1373892.5975	2314407.143	1867800
S1AN1553	31_07_2007	-19440.47736	-127921.429	127921.429	1373892.5975	1344907.143	2837300
S1AN1553	01_08_2007	832270.23701	18464.285	-18464.285	1227360.4351	-1636878.571	5568400
S1AN1553	02_08_2007	832270.23701	18464.285	-18464.285	1227360.4351	-270578.571	4202100
S1AN1553	03_08_2007	832270.23701	18464.285	-18464.285	1227360.4351	-775378.571	4706900
S1AN1553	04_08_2007	590352.71467	18464.285	-18464.285	856266.05182	-770278.571	4701800
S1AN1553	05_08_2007	-2729317.146	18464.285	-18464.285	210459.05196	2756621.429	1174900
S1AN1553	06_08_2007	680328.57059	18464.285	-18464.285	712294.43573	-1233878.571	5165400
S1AN1553	07_08_2007	540338.57274	18464.285	-18464.285	656278.20162	-1116578.571	5048100
S1AN1553	08_08_2007	540338.57274	18464.285	-18464.285	656278.20162	-147378.571	4078900
